,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
189,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,91,,,0,0,0,,,,,1.0,,,,,
190,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,76,,,0,0,0,,,,,,1.0,1.0,,,
191,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,76,,,0,0,0,,,,,1.0,,,1.0,,
192,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,73,,,0,0,0,,,,,,,,1.0,,
193,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,91,,,0,0,0,,,,,,,,1.0,,
194,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,92,,,0,0,0,,,,,,,,,1.0,
195,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,72,,,0,0,0,,,,,,,,,,1.0
196,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,75,,,0,0,0,,,,,,,,,,1.0
197,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,76,,,0,0,0,,,,,,,,,,1.0
198,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,78,,,0,0,0,,,,,,,,,,1.0
199,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,88,,,0,0,0,,,,,,,,,,1.0
200,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,71,,,0,0,0,1.0,,,,,,,,,
201,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,95,0.0,2.0,6473,0,0,1.0,,,,,,,,,
202,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,77,,,0,0,0,,1.0,,,,,,,,
203,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,72,,,0,0,0,,,1.0,,,,,,,
204,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,78,,,0,0,0,,,1.0,,,,,,,
205,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,92,,,0,0,0,,,1.0,,,,,,,
206,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,93,,,0,0,0,,,1.0,,,,,,,
207,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,76,,,0,0,0,1.0,,,1.0,,,,,,
208,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,73,,,0,0,0,,,,1.0,,,,,,
209,Zürich (ZH),2021-12-04,20211217_HVTWGDRXY,10_2021_12_04,91,,,0,0,0,,,,,1.0,,,,,
